"scenario_id","technology","country","admin_level","admin1","admin2","admin_unit","survey_n","eligible_population","target_percent","deadline_months","sigma","delta","sigma_source","delta_source","sigma_parameter_level","delta_parameter_level","minimum_TOT","TOT_per_1000","adoption_at_deadline_percent","earliest_safe_withdrawal_month","adoption_at_withdrawal_percent","minimum_post_adoption_percent","adoption_1y_after_percent","adoption_3y_after_percent","adoption_5y_after_percent","target_maintained_after_withdrawal","status"
"PPT_00001","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,10,12,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",162,16.2,10.0385763848589,12,10.038576826248,10.038576826248,21.9695080948999,33.7090633607424,38.5915175734208,TRUE,"Target achieved; safe withdrawal identified"
"PPT_00002","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,10,24,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",40,4,10.1392436676024,24,10.139243760586,10.139243760586,16.5071351866102,24.1110924813931,28.9955798329877,TRUE,"Target achieved; safe withdrawal identified"
"PPT_00003","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,10,36,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",19,1.9,10.1753997059657,36,10.1753998515286,10.1753998515286,14.5238201287672,20.4215231264983,24.9630435610398,TRUE,"Target achieved; safe withdrawal identified"
"PPT_00004","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,10,48,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",12,1.2,10.6533785662326,48,10.6533786385381,10.6533786385381,14.1319065520018,19.2776637554735,23.6072732575563,TRUE,"Target achieved; safe withdrawal identified"
"PPT_00005","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,10,60,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",8,0.8,10.563715408472,60,10.5637171671893,10.5637171671893,13.4311166513306,18.0201501150348,22.1738271394268,TRUE,"Target achieved; safe withdrawal identified"
"PPT_00006","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,20,12,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",,,,,,,,,,FALSE,"Target not achieved with <= 500 ToTs"
"PPT_00007","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,20,24,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",103,10.3,20.0585765871141,24,20.0585765733728,20.0585765733728,30.1723451576483,39.57737937268,42.7593775740148,TRUE,"Target achieved; safe withdrawal identified"
"PPT_00008","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,20,36,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",46,4.6,20.241182920627,36,20.2411816838442,20.2411816838442,27.2940913898659,34.8175342264275,38.4241397906657,TRUE,"Target achieved; safe withdrawal identified"
"PPT_00009","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,20,48,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",27,2.7,20.2901213841794,48,20.2901194121465,20.2901194121465,25.7087181159411,32.1432481219245,35.8710981323625,TRUE,"Target achieved; safe withdrawal identified"
"PPT_00010","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,20,60,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",18,1.8,20.2556495887912,60,20.2556476267236,20.2556476267236,24.6978117168518,30.4526330835402,34.2157401344235,TRUE,"Target achieved; safe withdrawal identified"
"PPT_00011","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,30,12,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",,,,,,,,,,FALSE,"Target not achieved with <= 500 ToTs"
"PPT_00012","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,30,24,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",243,24.3,30.0050052917755,24,30.0050001769819,30.0050001769819,41.0112348745377,48.9922926620916,49.4962244187619,TRUE,"Target achieved; safe withdrawal identified"
"PPT_00013","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,30,36,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",89,8.9,30.0002284574929,36,30.0002282514214,30.0002282514214,38.0836759524122,44.7089255922699,46.0104349303923,TRUE,"Target achieved; safe withdrawal identified"
"PPT_00014","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,30,48,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",50,5,30.0998593939594,48,30.0998590308765,30.0998590308765,36.307163004512,41.9469377690231,43.6446041051386,TRUE,"Target achieved; safe withdrawal identified"
"PPT_00015","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,30,60,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",33,3.3,30.1573382635039,60,30.1573326698045,30.1573326698045,35.1784672643323,40.1536344647569,42.0593291817254,TRUE,"Target achieved; safe withdrawal identified"
"PPT_00016","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,40,12,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",,,,,,,,,,FALSE,"Target not achieved with <= 500 ToTs"
"PPT_00017","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,40,24,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",,,,,,,,,,FALSE,"Target not achieved with <= 500 ToTs"
"PPT_00018","Push-Pull","Kenya","Admin1","Homabay",,"Homabay",48,10000,40,36,0.306666666666667,0.0758500435919791,"Kenya / Homabay","Transferred Uganda survey estimate","Admin1","Transferred",192,19.2,40.0331830223465,36,40.033183017699,40.033183017699,47.3135654988159,51.3666656583817,50.2484501016141,TRUE,"Target achieved; safe withdrawal identified"
